value;nbIteration
1.0;213935
2.0;104138
3.0;66051
4.0;52989
5.0;40687
6.0;32473
7.0;29468
8.0;24994
9.0;22357
10.0;19685
11.0;20138
12.0;17187
13.0;15458
14.0;14433
15.0;13236
16.0;12482
17.0;11340
18.0;11311
19.0;10261
20.0;10005
21.0;8548
22.0;9228
23.0;8240
24.0;8516
25.0;7347
26.0;7402
27.0;6900
28.0;6877
29.0;6450
30.0;6081
31.0;5545
32.0;5931
33.0;5320
34.0;5248
35.0;5257
36.0;4989
37.0;4461
38.0;4750
39.0;4670
40.0;4495
41.0;4529
42.0;4308
43.0;4268
44.0;4187
45.0;3737
46.0;3826
47.0;3858
48.0;3759
49.0;3845
50.0;3640
51.0;3423
52.0;3387
53.0;3315
54.0;3385
55.0;3138
56.0;2970
57.0;3111
58.0;2934
59.0;2828
60.0;2874
61.0;2662
62.0;2551
63.0;2544
64.0;2589
65.0;2456
66.0;2380
67.0;2558
68.0;2541
69.0;2478
70.0;2289
71.0;2417
72.0;2405
73.0;2225
74.0;2091
75.0;2070
76.0;2128
77.0;2011
78.0;2137
79.0;2071
80.0;1922
81.0;2002
82.0;1846
83.0;1853
84.0;1724
85.0;1865
86.0;1745
87.0;1705
88.0;1746
89.0;1779
90.0;1701
91.0;1670
92.0;1759
93.0;1730
94.0;1569
95.0;1572
96.0;1598
97.0;1549
98.0;1515
99.0;1485
100.0;1391
101.0;1534
