value;nbIteration
1.0;1493616
2.0;745235
3.0;524541
4.0;368939
5.0;327981
6.0;248222
7.0;221482
8.0;177272
9.0;166821
10.0;146170
11.0;131610
12.0;126775
13.0;108748
14.0;100493
15.0;93731
16.0;92443
17.0;81105
18.0;78035
19.0;70723
20.0;65409
21.0;59153
22.0;68342
23.0;58910
24.0;54994
25.0;50273
26.0;48718
27.0;46262
28.0;46797
29.0;44986
30.0;43339
31.0;40389
32.0;40078
33.0;37210
34.0;33597
35.0;33457
36.0;35660
37.0;33514
38.0;32318
39.0;32471
40.0;30839
41.0;28512
42.0;29240
43.0;28533
44.0;26888
45.0;26016
46.0;26647
47.0;24744
48.0;24565
49.0;23312
50.0;21851
51.0;22414
52.0;21828
53.0;20423
54.0;20346
55.0;21258
56.0;19210
57.0;17910
58.0;20982
59.0;19817
60.0;18610
61.0;17365
62.0;17515
63.0;17478
64.0;16683
65.0;17014
66.0;16612
67.0;15505
68.0;16086
69.0;15923
70.0;15675
71.0;14644
72.0;13743
73.0;14856
74.0;13618
75.0;14521
76.0;13379
77.0;13150
78.0;13421
79.0;12674
80.0;13751
81.0;12113
82.0;12669
83.0;12247
84.0;12269
85.0;11837
86.0;12656
87.0;10940
88.0;11457
89.0;11631
90.0;10795
91.0;11197
92.0;10925
93.0;10682
94.0;10207
95.0;10328
96.0;10339
97.0;9354
98.0;9462
99.0;9750
100.0;9154
101.0;9109
