value;nbIteration
1.0;5216
2.0;2765
3.0;1656
4.0;1319
5.0;1012
6.0;848
7.0;690
8.0;662
9.0;534
10.0;507
11.0;458
12.0;392
13.0;376
14.0;345
15.0;326
16.0;302
17.0;275
18.0;265
19.0;249
20.0;252
21.0;223
22.0;227
23.0;197
24.0;189
25.0;187
26.0;175
27.0;183
28.0;163
29.0;155
30.0;155
31.0;159
32.0;144
33.0;139
34.0;138
35.0;128
36.0;127
37.0;121
38.0;119
39.0;111
40.0;114
41.0;111
42.0;110
43.0;106
44.0;106
45.0;99
46.0;100
47.0;97
48.0;95
49.0;91
50.0;87
51.0;87
52.0;88
53.0;83
54.0;80
55.0;82
56.0;78
57.0;74
58.0;77
59.0;75
60.0;70
61.0;70
62.0;66
63.0;71
64.0;67
65.0;65
66.0;63
67.0;61
68.0;62
69.0;63
70.0;62
71.0;60
72.0;59
73.0;59
74.0;53
75.0;54
76.0;55
77.0;53
78.0;52
79.0;52
80.0;53
81.0;49
82.0;49
83.0;48
84.0;48
85.0;51
86.0;47
87.0;48
88.0;47
89.0;46
90.0;45
91.0;44
92.0;46
93.0;43
94.0;40
95.0;44
96.0;40
97.0;42
98.0;43
99.0;41
100.0;39
101.0;40
