value;nbIteration
1.0;50515
2.0;25435
3.0;17837
4.0;12527
5.0;10193
6.0;8305
7.0;7024
8.0;6058
9.0;5237
10.0;4806
11.0;4442
12.0;4036
13.0;3762
14.0;3388
15.0;3142
16.0;3009
17.0;2802
18.0;2697
19.0;2397
20.0;2421
21.0;2262
22.0;2158
23.0;1939
24.0;2106
25.0;1805
26.0;1941
27.0;1728
28.0;1617
29.0;1650
30.0;1506
31.0;1531
32.0;1463
33.0;1433
34.0;1348
35.0;1285
36.0;1241
37.0;1202
38.0;1234
39.0;1201
40.0;1124
41.0;1142
42.0;1098
43.0;1049
44.0;1028
45.0;1007
46.0;954
47.0;983
48.0;947
49.0;926
50.0;901
51.0;841
52.0;877
53.0;840
54.0;835
55.0;818
56.0;789
57.0;747
58.0;748
59.0;694
60.0;768
61.0;676
62.0;718
63.0;675
64.0;642
65.0;650
66.0;630
67.0;617
68.0;644
69.0;661
70.0;612
71.0;581
72.0;569
73.0;547
74.0;571
75.0;564
76.0;583
77.0;545
78.0;524
79.0;529
80.0;538
81.0;526
82.0;482
83.0;504
84.0;507
85.0;470
86.0;484
87.0;448
88.0;479
89.0;475
90.0;457
91.0;449
92.0;453
93.0;425
94.0;422
95.0;431
96.0;411
97.0;402
98.0;396
99.0;416
100.0;412
101.0;379
