value;nbIteration
100.0;104641
110.0;92208
120.0;89287
130.0;78844
140.0;75457
150.0;69841
160.0;64261
170.0;62313
180.0;56488
190.0;52910
200.0;51065
210.0;49673
220.0;49257
230.0;48000
240.0;43385
250.0;42263
260.0;40906
270.0;37174
280.0;35976
290.0;34879
300.0;33207
310.0;33498
320.0;32471
330.0;31903
340.0;30004
350.0;27865
360.0;28764
370.0;27105
380.0;26520
390.0;25610
400.0;26055
410.0;26035
420.0;24885
430.0;24319
440.0;22371
450.0;21863
460.0;22285
470.0;22071
480.0;22895
490.0;19782
500.0;19839
510.0;18908
520.0;20353
530.0;19605
540.0;18171
550.0;18514
560.0;19040
570.0;18021
580.0;17248
590.0;17329
600.0;15915
610.0;16180
620.0;15729
630.0;15505
640.0;15785
650.0;14471
660.0;15439
670.0;14796
680.0;14833
690.0;14429
700.0;13817
710.0;13526
720.0;13735
730.0;13829
740.0;13492
750.0;12835
760.0;13172
770.0;11804
780.0;12508
790.0;12824
800.0;11824
810.0;11431
820.0;11348
830.0;12112
840.0;11840
850.0;11066
860.0;10895
870.0;10882
880.0;11108
890.0;10227
900.0;10656
910.0;11070
920.0;9485
930.0;9730
940.0;9978
950.0;9704
960.0;9910
970.0;9898
980.0;9630
990.0;10106
1000.0;8900
