value;nbIteration
100.0;230819
110.0;212622
120.0;204858
130.0;183456
140.0;174448
150.0;167321
160.0;161906
170.0;143299
180.0;134926
190.0;139718
200.0;134451
210.0;133907
220.0;121805
230.0;111188
240.0;110344
250.0;105901
260.0;106242
270.0;101868
280.0;96861
290.0;97627
300.0;93492
310.0;90887
320.0;88705
330.0;85624
340.0;78900
350.0;77092
360.0;76982
370.0;72841
380.0;72779
390.0;73625
400.0;69770
410.0;71935
420.0;66507
430.0;67807
440.0;68911
450.0;64106
460.0;60697
470.0;60397
480.0;62525
490.0;54525
500.0;57590
510.0;58665
520.0;54643
530.0;56045
540.0;54799
550.0;50928
560.0;55125
570.0;49720
580.0;50330
590.0;48023
600.0;49671
610.0;49030
620.0;49324
630.0;45788
640.0;46395
650.0;44739
660.0;42774
670.0;45661
680.0;43692
690.0;41927
700.0;42286
710.0;44000
720.0;39200
730.0;39438
740.0;39980
750.0;39126
760.0;37668
770.0;37458
780.0;37383
790.0;37243
800.0;38063
810.0;36417
820.0;34167
830.0;36798
840.0;34579
850.0;34525
860.0;33425
870.0;35905
880.0;33662
890.0;35573
900.0;33968
910.0;32526
920.0;32654
930.0;31462
940.0;29955
950.0;30012
960.0;31764
970.0;30690
980.0;30178
990.0;30164
1000.0;31695
