value;nbIteration
100.0;270417
110.0;252271
120.0;248269
130.0;249956
140.0;242960
150.0;222203
160.0;243512
170.0;228061
180.0;212918
190.0;213292
200.0;210031
210.0;202394
220.0;192354
230.0;188567
240.0;195315
250.0;189379
260.0;184580
270.0;185781
280.0;188623
290.0;189526
300.0;176831
310.0;171684
320.0;175961
330.0;169088
340.0;169116
350.0;171996
360.0;159789
370.0;160331
380.0;161238
390.0;155349
400.0;163451
410.0;156696
420.0;167056
430.0;155208
440.0;144972
450.0;148906
460.0;142090
470.0;155762
480.0;138627
490.0;141736
500.0;146051
510.0;139599
520.0;135494
530.0;140024
540.0;134496
550.0;132526
560.0;131855
570.0;130864
580.0;126139
590.0;129890
600.0;130900
610.0;128100
620.0;127261
630.0;126361
640.0;121982
650.0;119806
660.0;119862
670.0;123352
680.0;118863
690.0;116489
700.0;121682
710.0;115866
720.0;109681
730.0;109365
740.0;119097
750.0;116635
760.0;107455
770.0;110444
780.0;111853
790.0;106990
800.0;114193
810.0;121766
820.0;110302
830.0;104851
840.0;106321
850.0;102878
860.0;111501
870.0;107963
880.0;104853
890.0;102607
900.0;95322
910.0;103756
920.0;103763
930.0;100993
940.0;94938
950.0;91788
960.0;94813
970.0;98378
980.0;97658
990.0;96803
1000.0;103383
