value;nbIteration
100.0;730202
110.0;631210
120.0;607682
130.0;548850
140.0;477625
150.0;484522
160.0;433302
170.0;411115
180.0;382818
190.0;376116
200.0;364839
210.0;329551
220.0;321469
230.0;303596
240.0;278127
250.0;269911
260.0;251604
270.0;246634
280.0;244687
290.0;227416
300.0;217619
310.0;221972
320.0;213889
330.0;198503
340.0;196783
350.0;184301
360.0;182515
370.0;180622
380.0;171388
390.0;161425
400.0;154528
410.0;161967
420.0;156596
430.0;154480
440.0;157593
450.0;142105
460.0;145843
470.0;142182
480.0;136547
490.0;135211
500.0;129943
510.0;126064
520.0;121107
530.0;117305
540.0;123957
550.0;118226
560.0;121160
570.0;110159
580.0;112821
590.0;112496
600.0;106848
610.0;100708
620.0;98189
630.0;99850
640.0;101513
650.0;95290
660.0;94434
670.0;93323
680.0;90838
690.0;84840
700.0;88908
710.0;82656
720.0;87642
730.0;81827
740.0;82303
750.0;81133
760.0;80900
770.0;77482
780.0;77721
790.0;76401
800.0;79740
810.0;74961
820.0;72892
830.0;77279
840.0;72045
850.0;67217
860.0;66557
870.0;72221
880.0;68007
890.0;66734
900.0;63885
910.0;65103
920.0;62195
930.0;62419
940.0;59622
950.0;61428
960.0;60947
970.0;60299
980.0;55292
990.0;56695
1000.0;57256
