value;nbIteration
100.0;2178781
110.0;1845807
120.0;1676513
130.0;1511999
140.0;1283975
150.0;1159927
160.0;1118034
170.0;1041091
180.0;893550
190.0;807561
200.0;742055
210.0;723810
220.0;662006
230.0;615982
240.0;543626
250.0;564845
260.0;482423
270.0;476121
280.0;452086
290.0;408848
300.0;384211
310.0;394266
320.0;359347
330.0;368348
340.0;319869
350.0;342674
360.0;321164
370.0;278440
380.0;286547
390.0;256577
400.0;257890
410.0;252425
420.0;249823
430.0;237607
440.0;220989
450.0;213579
460.0;210210
470.0;207155
480.0;198350
490.0;196294
500.0;184543
510.0;183376
520.0;167585
530.0;166462
540.0;169173
550.0;157426
560.0;151853
570.0;149064
580.0;141513
590.0;138310
600.0;138799
610.0;133774
620.0;136108
630.0;124731
640.0;122684
650.0;127530
660.0;120893
670.0;123580
680.0;109425
690.0;115035
700.0;106147
710.0;110554
720.0;104165
730.0;100268
740.0;101463
750.0;104249
760.0;90763
770.0;92206
780.0;90350
790.0;89691
800.0;88379
810.0;90076
820.0;84770
830.0;85106
840.0;79837
850.0;80117
860.0;83523
870.0;75306
880.0;77642
890.0;71277
900.0;71987
910.0;71289
920.0;71692
930.0;72096
940.0;69698
950.0;61269
960.0;65361
970.0;66987
980.0;67920
990.0;63620
1000.0;59609
