value;nbIteration
1.0;38
2.0;81
3.0;60
4.0;111
5.0;124
6.0;97
7.0;133
8.0;84
9.0;179
10.0;107
11.0;137
12.0;120
13.0;176
14.0;122
15.0;134
16.0;172
17.0;140
18.0;153
19.0;218
20.0;164
21.0;165
22.0;161
23.0;175
24.0;188
25.0;193
26.0;194
27.0;187
28.0;190
29.0;268
30.0;222
31.0;226
32.0;162
33.0;194
34.0;179
35.0;177
36.0;231
37.0;181
38.0;215
39.0;168
40.0;130
41.0;200
42.0;148
43.0;210
44.0;240
45.0;206
46.0;194
47.0;238
48.0;203
49.0;176
50.0;205
51.0;207
52.0;279
53.0;220
54.0;232
55.0;188
56.0;184
57.0;260
58.0;259
59.0;203
60.0;208
61.0;220
62.0;203
63.0;184
64.0;261
65.0;238
66.0;209
67.0;238
68.0;220
69.0;215
70.0;260
71.0;199
72.0;176
73.0;229
74.0;207
75.0;166
76.0;216
77.0;236
78.0;241
79.0;192
80.0;244
81.0;187
82.0;210
83.0;225
84.0;254
85.0;257
86.0;252
87.0;261
88.0;219
89.0;240
90.0;202
91.0;220
92.0;205
93.0;247
94.0;268
95.0;197
96.0;224
97.0;224
98.0;208
99.0;207
100.0;225
101.0;214
