value;nbIteration
1.0;8712
2.0;13868
3.0;41584
4.0;21858
5.0;30602
6.0;28800
7.0;41968
8.0;36319
9.0;45234
10.0;48802
11.0;33606
12.0;53647
13.0;61050
14.0;49182
15.0;51167
16.0;58457
17.0;55300
18.0;42725
19.0;53897
20.0;57907
21.0;59373
22.0;45193
23.0;52793
24.0;57151
25.0;53035
26.0;72246
27.0;58991
28.0;63824
29.0;72797
30.0;65413
31.0;57614
32.0;64484
33.0;54928
34.0;73306
35.0;70886
36.0;66181
37.0;59995
38.0;63575
39.0;68406
40.0;74344
41.0;71421
42.0;69106
43.0;53486
44.0;54857
45.0;80980
46.0;63412
47.0;67787
48.0;75111
49.0;62958
50.0;55434
51.0;65827
52.0;84435
53.0;66035
54.0;87861
55.0;62037
56.0;75884
57.0;68564
58.0;73126
59.0;64589
60.0;78063
61.0;83522
62.0;76174
63.0;82135
64.0;69504
65.0;67951
66.0;88008
67.0;68126
68.0;80500
69.0;80908
70.0;72887
71.0;72691
72.0;78718
73.0;87724
74.0;77606
75.0;65226
76.0;71637
77.0;68185
78.0;66386
79.0;74972
80.0;73606
81.0;80916
82.0;73368
83.0;87519
84.0;88846
85.0;80604
86.0;82969
87.0;67944
88.0;70638
89.0;86882
90.0;81435
91.0;80993
92.0;98770
93.0;81269
94.0;79347
95.0;100372
96.0;86471
97.0;71985
98.0;86590
99.0;80859
100.0;83461
101.0;81178
