value;nbIteration
1.0;860
2.0;626
3.0;306
4.0;327
5.0;211
6.0;127
7.0;140
8.0;79
9.0;96
10.0;88
11.0;91
12.0;75
13.0;66
14.0;72
15.0;49
16.0;43
17.0;57
18.0;46
19.0;27
20.0;34
21.0;34
22.0;33
23.0;37
24.0;29
25.0;22
26.0;20
27.0;24
28.0;28
29.0;22
30.0;23
31.0;21
32.0;18
33.0;18
34.0;14
35.0;23
36.0;18
37.0;17
38.0;11
39.0;12
40.0;13
41.0;13
42.0;15
43.0;14
44.0;16
45.0;10
46.0;10
47.0;16
48.0;14
49.0;9
50.0;8
51.0;19
52.0;12
53.0;10
54.0;8
55.0;6
56.0;5
57.0;10
58.0;7
59.0;6
60.0;10
61.0;8
62.0;8
63.0;4
64.0;6
65.0;5
66.0;9
67.0;9
68.0;3
69.0;4
70.0;4
71.0;3
72.0;6
73.0;4
74.0;4
75.0;5
76.0;3
77.0;3
78.0;2
79.0;1
80.0;3
81.0;3
82.0;3
83.0;4
84.0;5
85.0;2
86.0;2
87.0;2
88.0;2
89.0;3
90.0;4
91.0;3
92.0;5
93.0;3
94.0;3
95.0;1
96.0;1
97.0;1
98.0;4
99.0;5
100.0;3
101.0;4
