value;nbIteration
1.0;1078
2.0;309
3.0;234
4.0;112
5.0;155
6.0;99
7.0;18
8.0;46
9.0;86
10.0;56
11.0;14
12.0;66
13.0;47
14.0;9
15.0;20
16.0;23
17.0;16
18.0;15
19.0;43
20.0;10
21.0;10
22.0;14
23.0;8
24.0;10
25.0;5
26.0;7
27.0;3
28.0;3
29.0;4
30.0;3
31.0;10
32.0;1
33.0;8
34.0;10
35.0;11
36.0;2
37.0;3
38.0;10
39.0;1
40.0;1
41.0;1
42.0;6
43.0;6
44.0;1
45.0;2
46.0;1
47.0;1
48.0;1
49.0;1
50.0;2
51.0;1
52.0;1
53.0;4
54.0;2
55.0;2
56.0;1
57.0;1
58.0;1
59.0;4
60.0;1
61.0;1
62.0;1
63.0;3
64.0;2
65.0;1
66.0;2
67.0;2
68.0;1
69.0;1
70.0;1
71.0;3
72.0;2
73.0;1
74.0;1
75.0;1
76.0;1
77.0;1
78.0;1
79.0;1
80.0;1
81.0;1
82.0;1
83.0;1
84.0;1
85.0;1
86.0;1
87.0;1
88.0;2
89.0;1
90.0;1
91.0;1
92.0;1
93.0;1
94.0;2
95.0;1
96.0;1
97.0;1
98.0;1
99.0;1
100.0;1
101.0;1
