value;nbIteration
1.0;16251
2.0;21922
3.0;30338
4.0;31186
5.0;30892
6.0;34529
7.0;39577
8.0;44119
9.0;41151
10.0;43852
11.0;53498
12.0;47441
13.0;49616
14.0;57299
15.0;51939
16.0;54384
17.0;56489
18.0;59242
19.0;54074
20.0;65632
21.0;63192
22.0;64234
23.0;60775
24.0;60669
25.0;64689
26.0;62572
27.0;70143
28.0;63201
29.0;67620
30.0;66033
31.0;69250
32.0;71973
33.0;72471
34.0;74480
35.0;73243
36.0;71697
37.0;74240
38.0;69409
39.0;74363
40.0;72215
41.0;77475
42.0;73501
43.0;79427
44.0;76348
45.0;77692
46.0;80249
47.0;77573
48.0;70280
49.0;77404
50.0;74149
51.0;78375
52.0;71855
53.0;81752
54.0;79159
55.0;87472
56.0;80293
57.0;78940
58.0;78776
59.0;82478
60.0;80423
61.0;85155
62.0;79866
63.0;78079
64.0;76091
65.0;81670
66.0;82708
67.0;86641
68.0;84734
69.0;82568
70.0;88660
71.0;88685
72.0;88797
73.0;87421
74.0;82290
75.0;83423
76.0;84956
77.0;85503
78.0;86574
79.0;87290
80.0;84643
81.0;85296
82.0;88471
83.0;90014
84.0;90002
85.0;86058
86.0;88371
87.0;93264
88.0;87186
89.0;91263
90.0;88294
91.0;93132
92.0;89486
93.0;93184
94.0;91859
95.0;97623
96.0;85942
97.0;95380
98.0;94113
99.0;86838
100.0;93785
101.0;92269
