value;nbIteration
1.0;10278
2.0;18834
3.0;20837
4.0;24730
5.0;25730
6.0;25663
7.0;30681
8.0;34760
9.0;35977
10.0;36396
11.0;39256
12.0;39817
13.0;43338
14.0;39033
15.0;39831
16.0;41934
17.0;44827
18.0;46179
19.0;44238
20.0;43975
21.0;44410
22.0;45004
23.0;48027
24.0;47787
25.0;46857
26.0;49264
27.0;53931
28.0;51783
29.0;51569
30.0;50063
31.0;50926
32.0;53864
33.0;54981
34.0;52487
35.0;55209
36.0;53686
37.0;56846
38.0;58078
39.0;56500
40.0;55788
41.0;60301
42.0;56624
43.0;56771
44.0;57506
45.0;62910
46.0;55743
47.0;57123
48.0;55250
49.0;56125
50.0;56280
51.0;55069
52.0;60116
53.0;56653
54.0;61104
55.0;58016
56.0;59377
57.0;60436
58.0;59623
59.0;59759
60.0;58265
61.0;61400
62.0;61615
63.0;59322
64.0;63863
65.0;60053
66.0;60731
67.0;62941
68.0;62942
69.0;63357
70.0;63205
71.0;60985
72.0;70560
73.0;63683
74.0;67035
75.0;66821
76.0;64553
77.0;69612
78.0;65967
79.0;64119
80.0;60775
81.0;64777
82.0;63354
83.0;63266
84.0;66053
85.0;61251
86.0;66650
87.0;73622
88.0;65173
89.0;63126
90.0;64907
91.0;64568
92.0;66463
93.0;67559
94.0;65594
95.0;74360
96.0;67655
97.0;69598
98.0;66190
99.0;66247
100.0;64849
101.0;66399
