value;nbIteration
1.0;11068
2.0;14515
3.0;19630
4.0;22097
5.0;23649
6.0;27779
7.0;30822
8.0;34405
9.0;33096
10.0;33254
11.0;34129
12.0;39355
13.0;38318
14.0;39173
15.0;39120
16.0;40482
17.0;41919
18.0;43046
19.0;44927
20.0;46853
21.0;43903
22.0;43105
23.0;41987
24.0;48732
25.0;48456
26.0;48995
27.0;46449
28.0;47213
29.0;47126
30.0;52023
31.0;55248
32.0;48241
33.0;48942
34.0;51945
35.0;50908
36.0;51605
37.0;51072
38.0;52834
39.0;52711
40.0;56323
41.0;54246
42.0;55291
43.0;55928
44.0;54793
45.0;53804
46.0;55034
47.0;59524
48.0;55212
49.0;54746
50.0;53436
51.0;54752
52.0;56109
53.0;56325
54.0;58695
55.0;57383
56.0;56212
57.0;58915
58.0;59307
59.0;54982
60.0;55728
61.0;57129
62.0;57897
63.0;61117
64.0;60490
65.0;58161
66.0;58601
67.0;60019
68.0;61495
69.0;62955
70.0;57426
71.0;60973
72.0;64358
73.0;58294
74.0;61052
75.0;60959
76.0;56789
77.0;65964
78.0;62771
79.0;59409
80.0;62976
81.0;64140
82.0;64423
83.0;62141
84.0;65299
85.0;66525
86.0;59356
87.0;67455
88.0;61717
89.0;66282
90.0;62375
91.0;65195
92.0;62901
93.0;64521
94.0;65909
95.0;65788
96.0;65474
97.0;66448
98.0;63065
99.0;63840
100.0;61961
101.0;64946
