value;nbIteration
1.0;8642
2.0;11624
3.0;18744
4.0;20035
5.0;23939
6.0;38637
7.0;27762
8.0;29463
9.0;37630
10.0;38604
11.0;38734
12.0;40274
13.0;33032
14.0;38523
15.0;35932
16.0;36629
17.0;35506
18.0;43309
19.0;39173
20.0;42880
21.0;39702
22.0;37485
23.0;43824
24.0;48453
25.0;50306
26.0;39406
27.0;48548
28.0;46751
29.0;43043
30.0;50556
31.0;46516
32.0;52324
33.0;42642
34.0;65318
35.0;50190
36.0;50853
37.0;61210
38.0;41965
39.0;52411
40.0;46551
41.0;49526
42.0;59022
43.0;52407
44.0;50829
45.0;47907
46.0;59100
47.0;53963
48.0;48826
49.0;45995
50.0;50538
51.0;61035
52.0;54206
53.0;44546
54.0;66950
55.0;48818
56.0;65583
57.0;53081
58.0;58029
59.0;57746
60.0;49946
61.0;53219
62.0;53888
63.0;52915
64.0;48484
65.0;57338
66.0;71937
67.0;48093
68.0;51319
69.0;70961
70.0;55631
71.0;55054
72.0;59669
73.0;56286
74.0;53263
75.0;72803
76.0;68757
77.0;63360
78.0;48342
79.0;69062
80.0;55859
81.0;66789
82.0;58828
83.0;67267
84.0;56579
85.0;67901
86.0;66163
87.0;69970
88.0;60013
89.0;60222
90.0;60338
91.0;70654
92.0;58780
93.0;58951
94.0;59692
95.0;64263
96.0;51193
97.0;70812
98.0;61999
99.0;60141
100.0;65475
101.0;49522
