value;nbIteration
1.0;5432
2.0;7572
3.0;8923
4.0;9983
5.0;10871
6.0;13028
7.0;13696
8.0;14184
9.0;15532
10.0;15498
11.0;14929
12.0;17316
13.0;16517
14.0;16961
15.0;16218
16.0;18345
17.0;17574
18.0;17174
19.0;18761
20.0;18339
21.0;19790
22.0;20142
23.0;19194
24.0;20620
25.0;19338
26.0;19227
27.0;21339
28.0;20261
29.0;20974
30.0;22170
31.0;20879
32.0;20481
33.0;22583
34.0;22015
35.0;22225
36.0;22411
37.0;24207
38.0;22877
39.0;23253
40.0;24485
41.0;21489
42.0;22927
43.0;23687
44.0;22304
45.0;23655
46.0;24295
47.0;22949
48.0;24668
49.0;23521
50.0;24199
51.0;24364
52.0;24165
53.0;24800
54.0;26282
55.0;24776
56.0;24308
57.0;24745
58.0;25298
59.0;24049
60.0;25741
61.0;25019
62.0;24167
63.0;26165
64.0;24863
65.0;26458
66.0;24343
67.0;25186
68.0;25017
69.0;26357
70.0;26091
71.0;25677
72.0;25216
73.0;25493
74.0;26178
75.0;25356
76.0;27532
77.0;25358
78.0;27672
79.0;26434
80.0;26673
81.0;26003
82.0;26788
83.0;27145
84.0;26277
85.0;26870
86.0;26438
87.0;27855
88.0;27610
89.0;27259
90.0;26743
91.0;27481
92.0;26099
93.0;29189
94.0;28103
95.0;28845
96.0;28304
97.0;27514
98.0;28723
99.0;27367
100.0;28167
101.0;29232
