value;nbIteration
1.0;191872
2.0;95370
3.0;67374
4.0;47521
5.0;39949
6.0;33241
7.0;28215
8.0;23657
9.0;21826
10.0;20153
11.0;18590
12.0;15714
13.0;14754
14.0;14321
15.0;12200
16.0;11827
17.0;10995
18.0;10366
19.0;10102
20.0;9386
21.0;9369
22.0;8929
23.0;8781
24.0;7388
25.0;7618
26.0;7249
27.0;6707
28.0;6539
29.0;6317
30.0;5680
31.0;6170
32.0;5987
33.0;5790
34.0;5690
35.0;5320
36.0;5265
37.0;5120
38.0;4749
39.0;5016
40.0;4252
41.0;4580
42.0;4434
43.0;4333
44.0;3938
45.0;4195
46.0;3989
47.0;3975
48.0;3809
49.0;3671
50.0;3550
51.0;3453
52.0;3400
53.0;3457
54.0;3216
55.0;3327
56.0;3203
57.0;3225
58.0;2800
59.0;2910
60.0;2902
61.0;2825
62.0;2751
63.0;2814
64.0;2685
65.0;2755
66.0;2482
67.0;2438
68.0;2509
69.0;2511
70.0;2420
71.0;2192
72.0;2275
73.0;2246
74.0;2450
75.0;2165
76.0;2185
77.0;2339
78.0;2173
79.0;1989
80.0;2224
81.0;2057
82.0;2070
83.0;1888
84.0;1937
85.0;1827
86.0;1917
87.0;1957
88.0;1919
89.0;1959
90.0;1814
91.0;1816
92.0;1692
93.0;1820
94.0;1783
95.0;1686
96.0;1635
97.0;1716
98.0;1660
99.0;1633
100.0;1681
101.0;1531
