value;nbIteration
1.0;32100
2.0;16101
3.0;10393
4.0;7708
5.0;6233
6.0;5067
7.0;4421
8.0;3867
9.0;3176
10.0;3179
11.0;2869
12.0;2556
13.0;2300
14.0;2085
15.0;2097
16.0;1854
17.0;1734
18.0;1634
19.0;1519
20.0;1480
21.0;1459
22.0;1358
23.0;1231
24.0;1263
25.0;1210
26.0;1152
27.0;1042
28.0;1005
29.0;933
30.0;963
31.0;969
32.0;910
33.0;877
34.0;801
35.0;749
36.0;798
37.0;714
38.0;752
39.0;726
40.0;690
41.0;676
42.0;671
43.0;617
44.0;628
45.0;628
46.0;601
47.0;594
48.0;607
49.0;576
50.0;558
51.0;502
52.0;522
53.0;514
54.0;488
55.0;476
56.0;484
57.0;462
58.0;442
59.0;438
60.0;448
61.0;432
62.0;413
63.0;398
64.0;400
65.0;428
66.0;396
67.0;398
68.0;380
69.0;381
70.0;369
71.0;374
72.0;357
73.0;343
74.0;333
75.0;345
76.0;333
77.0;338
78.0;325
79.0;292
80.0;312
81.0;301
82.0;298
83.0;301
84.0;297
85.0;288
86.0;299
87.0;282
88.0;271
89.0;261
90.0;263
91.0;262
92.0;266
93.0;257
94.0;232
95.0;268
96.0;251
97.0;255
98.0;247
99.0;236
100.0;222
101.0;259
