value;nbIteration
1.0;10456
2.0;5918
3.0;4135
4.0;2859
5.0;2576
6.0;2053
7.0;1848
8.0;1427
9.0;1265
10.0;1424
11.0;1104
12.0;887
13.0;796
14.0;941
15.0;677
16.0;656
17.0;695
18.0;698
19.0;626
20.0;564
21.0;591
22.0;487
23.0;494
24.0;478
25.0;402
26.0;440
27.0;402
28.0;431
29.0;353
30.0;378
31.0;447
32.0;313
33.0;297
34.0;312
35.0;321
36.0;312
37.0;339
38.0;326
39.0;308
40.0;271
41.0;287
42.0;306
43.0;252
44.0;272
45.0;256
46.0;224
47.0;231
48.0;240
49.0;263
50.0;211
51.0;205
52.0;203
53.0;197
54.0;225
55.0;223
56.0;161
57.0;177
58.0;201
59.0;217
60.0;188
61.0;180
62.0;174
63.0;166
64.0;190
65.0;141
66.0;151
67.0;157
68.0;156
69.0;172
70.0;157
71.0;150
72.0;156
73.0;141
74.0;132
75.0;147
76.0;173
77.0;140
78.0;142
79.0;148
80.0;146
81.0;144
82.0;126
83.0;133
84.0;122
85.0;139
86.0;145
87.0;163
88.0;104
89.0;99
90.0;131
91.0;124
92.0;111
93.0;123
94.0;113
95.0;102
96.0;101
97.0;108
98.0;102
99.0;104
100.0;89
101.0;106
