;CCf;;
Agent Count;Iterations;;
;Alpha = 0,5;Alpha = 1,0;Alpha = 2,0
1.0;577334;69430;10456
2.0;278674;30418;5918
3.0;179690;25242;4135
4.0;168708;18205;2859
5.0;119138;15215;2576
6.0;98980;13265;2053
7.0;87871;9943;1848
8.0;75086;9452;1427
9.0;70421;7987;1265
10.0;52291;7095;1424
11.0;52861;6847;1104
12.0;46152;5723;887
13.0;45201;5439;796
14.0;45694;5590;941
15.0;35069;4815;677
16.0;33845;4601;656
17.0;34421;4065;695
18.0;29942;3838;698
19.0;30480;3201;626
20.0;29363;3150;564
21.0;25344;3808;591
22.0;30345;3412;487
23.0;23351;2661;494
24.0;23540;2840;478
25.0;22705;2995;402
26.0;22543;2405;440
27.0;21356;2185;402
28.0;23203;2787;431
29.0;17953;2676;353
30.0;20569;2250;378
31.0;22226;2475;447
32.0;17485;1945;313
33.0;17138;2105;297
34.0;17068;1889;312
35.0;14893;2093;321
36.0;17200;1980;312
37.0;13797;2088;339
38.0;14562;1771;326
39.0;12880;1769;308
40.0;13680;1897;271
41.0;14011;1729;287
42.0;14242;1627;306
43.0;13250;1713;252
44.0;14127;1650;272
45.0;11543;1843;256
46.0;10997;1370;224
47.0;12185;1456;231
48.0;11766;1440;240
49.0;12072;1264;263
50.0;10768;1458;211
51.0;11684;1406;205
52.0;12255;1185;203
53.0;9945;1158;197
54.0;8686;1230;225
55.0;10201;1109;223
56.0;9201;1374;161
57.0;8849;1091;177
58.0;10080;1137;201
59.0;9496;1126;217
60.0;9195;1085;188
61.0;11374;1083;180
62.0;9267;986;174
63.0;8839;953;166
64.0;8340;975;190
65.0;8994;1002;141
66.0;7750;1057;151
67.0;7245;939;157
68.0;7688;896;156
69.0;8214;776;172
70.0;7817;1065;157
71.0;7689;941;150
72.0;8343;805;156
73.0;8868;993;141
74.0;7111;783;132
75.0;8058;1071;147
76.0;6409;937;173
77.0;7174;782;140
78.0;6690;829;142
79.0;7436;894;148
80.0;6672;787;146
81.0;6722;739;144
82.0;7478;716;126
83.0;6504;688;133
84.0;5770;876;122
85.0;7445;792;139
86.0;7182;813;145
87.0;5593;790;163
88.0;5559;723;104
89.0;6414;602;99
90.0;5984;604;131
91.0;5016;705;124
92.0;5946;739;111
93.0;7623;762;123
94.0;6784;580;113
95.0;5757;650;102
96.0;5191;609;101
97.0;6385;669;108
98.0;5760;697;102
99.0;5393;561;104
100.0;5131;674;89
101.0;4853;607;106
