value;nbIteration
1.0;25393
2.0;12582
3.0;8961
4.0;5968
5.0;4775
6.0;4138
7.0;4440
8.0;3270
9.0;2883
10.0;2533
11.0;2674
12.0;2002
13.0;2181
14.0;1833
15.0;1682
16.0;1729
17.0;1712
18.0;1226
19.0;1409
20.0;1175
21.0;1204
22.0;1040
23.0;1082
24.0;950
25.0;1002
26.0;1111
27.0;903
28.0;824
29.0;729
30.0;894
31.0;856
32.0;750
33.0;710
34.0;772
35.0;582
36.0;688
37.0;620
38.0;584
39.0;670
40.0;651
41.0;579
42.0;506
43.0;542
44.0;474
45.0;530
46.0;491
47.0;521
48.0;456
49.0;448
50.0;494
51.0;505
52.0;460
53.0;418
54.0;463
55.0;458
56.0;374
57.0;372
58.0;363
59.0;410
60.0;305
61.0;377
62.0;327
63.0;356
64.0;339
65.0;355
66.0;325
67.0;320
68.0;293
69.0;306
70.0;440
71.0;301
72.0;302
73.0;315
74.0;366
75.0;280
76.0;299
77.0;264
78.0;278
79.0;254
80.0;292
81.0;237
82.0;301
83.0;267
84.0;210
85.0;230
86.0;233
87.0;244
88.0;235
89.0;198
90.0;223
91.0;243
92.0;291
93.0;207
94.0;234
95.0;210
96.0;245
97.0;191
98.0;202
99.0;238
100.0;200
101.0;229
