value;nbIteration
1.0;705
2.0;1693
3.0;1590
4.0;1360
5.0;1611
6.0;2054
7.0;1628
8.0;2215
9.0;2210
10.0;3063
11.0;1922
12.0;2242
13.0;2644
14.0;2421
15.0;2710
16.0;3265
17.0;2754
18.0;2493
19.0;2636
20.0;2923
21.0;3245
22.0;3516
23.0;3181
24.0;3050
25.0;2992
26.0;3187
27.0;3909
28.0;3442
29.0;3265
30.0;3421
31.0;3698
32.0;3605
33.0;2968
34.0;3686
35.0;3369
36.0;2812
37.0;3781
38.0;3301
39.0;3000
40.0;3577
41.0;4594
42.0;3126
43.0;4200
44.0;3969
45.0;3876
46.0;4120
47.0;3873
48.0;3707
49.0;3668
50.0;4446
51.0;3793
52.0;3976
53.0;3520
54.0;4547
55.0;4204
56.0;3188
57.0;3806
58.0;3902
59.0;3567
60.0;4316
61.0;3877
62.0;3743
63.0;3905
64.0;4537
65.0;3657
66.0;5083
67.0;4286
68.0;6059
69.0;3761
70.0;4338
71.0;4560
72.0;4668
73.0;3701
74.0;4221
75.0;4446
76.0;4164
77.0;4135
78.0;4319
79.0;3990
80.0;5215
81.0;4333
82.0;4306
83.0;5196
84.0;3662
85.0;4457
86.0;4423
87.0;4164
88.0;3881
89.0;3922
90.0;4483
91.0;4644
92.0;3925
93.0;4034
94.0;3886
95.0;5403
96.0;5267
97.0;4936
98.0;4560
99.0;5085
100.0;4384
101.0;4415
