value;nbIteration
1.0;179
2.0;128
3.0;108
4.0;147
5.0;181
6.0;181
7.0;164
8.0;163
9.0;249
10.0;142
11.0;118
12.0;159
13.0;161
14.0;171
15.0;127
16.0;146
17.0;177
18.0;154
19.0;149
20.0;161
21.0;167
22.0;125
23.0;194
24.0;150
25.0;144
26.0;146
27.0;155
28.0;141
29.0;141
30.0;126
31.0;161
32.0;182
33.0;150
34.0;133
35.0;203
36.0;155
37.0;128
38.0;156
39.0;155
40.0;161
41.0;157
42.0;160
43.0;177
44.0;162
45.0;153
46.0;151
47.0;179
48.0;151
49.0;171
50.0;145
51.0;153
52.0;150
53.0;135
54.0;169
55.0;164
56.0;170
57.0;169
58.0;155
59.0;184
60.0;158
61.0;147
62.0;142
63.0;158
64.0;187
65.0;171
66.0;164
67.0;153
68.0;151
69.0;155
70.0;152
71.0;156
72.0;155
73.0;153
74.0;139
75.0;156
76.0;158
77.0;164
78.0;150
79.0;168
80.0;149
81.0;161
82.0;142
83.0;147
84.0;153
85.0;158
86.0;176
87.0;177
88.0;142
89.0;156
90.0;132
91.0;133
92.0;161
93.0;165
94.0;141
95.0;167
96.0;155
97.0;169
98.0;129
99.0;154
100.0;145
101.0;148
