value;nbIteration
1.0;108
2.0;265
3.0;281
4.0;308
5.0;282
6.0;381
7.0;380
8.0;455
9.0;495
10.0;409
11.0;448
12.0;493
13.0;538
14.0;544
15.0;523
16.0;683
17.0;495
18.0;530
19.0;632
20.0;875
21.0;516
22.0;613
23.0;667
24.0;666
25.0;727
26.0;696
27.0;750
28.0;724
29.0;556
30.0;889
31.0;528
32.0;730
33.0;754
34.0;703
35.0;583
36.0;778
37.0;672
38.0;503
39.0;765
40.0;708
41.0;802
42.0;634
43.0;685
44.0;1062
45.0;531
46.0;798
47.0;747
48.0;1008
49.0;753
50.0;716
51.0;1068
52.0;799
53.0;667
54.0;626
55.0;616
56.0;1035
57.0;597
58.0;811
59.0;761
60.0;684
61.0;720
62.0;702
63.0;571
64.0;880
65.0;838
66.0;791
67.0;1062
68.0;912
69.0;716
70.0;685
71.0;958
72.0;1033
73.0;1066
74.0;736
75.0;1031
76.0;975
77.0;597
78.0;614
79.0;1030
80.0;778
81.0;621
82.0;776
83.0;797
84.0;902
85.0;1081
86.0;710
87.0;969
88.0;1085
89.0;793
90.0;1078
91.0;797
92.0;703
93.0;669
94.0;736
95.0;907
96.0;793
97.0;1188
98.0;768
99.0;953
100.0;1115
101.0;624
