value;nbIteration
1.0;16295
2.0;9111
3.0;10153
4.0;3568
5.0;5669
6.0;2743
7.0;4139
8.0;2584
9.0;2005
10.0;1807
11.0;1515
12.0;1840
13.0;1653
14.0;997
15.0;1438
16.0;1356
17.0;973
18.0;783
19.0;743
20.0;1200
21.0;820
22.0;846
23.0;571
24.0;880
25.0;563
26.0;460
27.0;809
28.0;400
29.0;586
30.0;350
31.0;418
32.0;474
33.0;519
34.0;582
35.0;446
36.0;523
37.0;291
38.0;439
39.0;414
40.0;486
41.0;358
42.0;270
43.0;272
44.0;269
45.0;232
46.0;277
47.0;327
48.0;353
49.0;349
50.0;390
51.0;266
52.0;274
53.0;287
54.0;254
55.0;399
56.0;202
57.0;235
58.0;177
59.0;223
60.0;214
61.0;231
62.0;161
63.0;215
64.0;259
65.0;142
66.0;230
67.0;182
68.0;159
69.0;179
70.0;199
71.0;162
72.0;202
73.0;148
74.0;180
75.0;219
76.0;157
77.0;217
78.0;143
79.0;104
80.0;245
81.0;187
82.0;136
83.0;143
84.0;148
85.0;206
86.0;165
87.0;105
88.0;190
89.0;126
90.0;99
91.0;101
92.0;114
93.0;108
94.0;154
95.0;151
96.0;135
97.0;109
98.0;71
99.0;146
100.0;102
101.0;116
