value;nbIteration
1.0;5784
2.0;2910
3.0;1528
4.0;971
5.0;668
6.0;806
7.0;567
8.0;563
9.0;629
10.0;364
11.0;227
12.0;330
13.0;203
14.0;157
15.0;123
16.0;195
17.0;146
18.0;184
19.0;114
20.0;161
21.0;78
22.0;72
23.0;90
24.0;113
25.0;68
26.0;83
27.0;59
28.0;113
29.0;65
30.0;70
31.0;90
32.0;45
33.0;79
34.0;54
35.0;23
36.0;89
37.0;46
38.0;36
39.0;75
40.0;29
41.0;33
42.0;33
43.0;30
44.0;40
45.0;19
46.0;31
47.0;38
48.0;16
49.0;14
50.0;26
51.0;23
52.0;25
53.0;26
54.0;12
55.0;22
56.0;25
57.0;21
58.0;14
59.0;21
60.0;14
61.0;14
62.0;14
63.0;12
64.0;10
65.0;13
66.0;9
67.0;11
68.0;9
69.0;11
70.0;13
71.0;6
72.0;14
73.0;21
74.0;16
75.0;7
76.0;7
77.0;14
78.0;6
79.0;17
80.0;11
81.0;7
82.0;13
83.0;6
84.0;4
85.0;11
86.0;2
87.0;7
88.0;9
89.0;5
90.0;4
91.0;4
92.0;4
93.0;4
94.0;8
95.0;3
96.0;2
97.0;3
98.0;4
99.0;9
100.0;7
101.0;2
