value;nbIteration
1.0;1323298
2.0;664409
3.0;440256
4.0;319112
5.0;255843
6.0;205215
7.0;188242
8.0;167404
9.0;150918
10.0;126727
11.0;122945
12.0;109027
13.0;96725
14.0;92168
15.0;87793
16.0;81679
17.0;79289
18.0;66888
19.0;64723
20.0;65665
21.0;57945
22.0;57416
23.0;52886
24.0;54318
25.0;48761
26.0;51598
27.0;44734
28.0;43007
29.0;41498
30.0;41535
31.0;40646
32.0;38802
33.0;35670
34.0;35462
35.0;35249
36.0;31268
37.0;32859
38.0;32573
39.0;29994
40.0;30290
41.0;28127
42.0;27734
43.0;27573
44.0;26276
45.0;26035
46.0;24910
47.0;26088
48.0;23175
49.0;24707
50.0;23269
51.0;22477
52.0;23600
53.0;21829
54.0;21452
55.0;18953
56.0;21512
57.0;19652
58.0;18748
59.0;19434
60.0;18076
61.0;19150
62.0;19280
63.0;19158
64.0;17767
65.0;17411
66.0;17351
67.0;16480
68.0;17042
69.0;16626
70.0;15606
71.0;15900
72.0;15405
73.0;14681
74.0;15503
75.0;14914
76.0;14506
77.0;14509
78.0;14380
79.0;13622
80.0;13758
81.0;12421
82.0;13128
83.0;12783
84.0;13481
85.0;12413
86.0;12005
87.0;12355
88.0;11971
89.0;11944
90.0;11980
91.0;11182
92.0;10965
93.0;11263
94.0;11814
95.0;11029
96.0;10814
97.0;10562
98.0;10971
99.0;10196
100.0;9945
101.0;9648
