value;nbIteration
1.0;619390
2.0;296949
3.0;201631
4.0;145320
5.0;122399
6.0;98745
7.0;82450
8.0;74573
9.0;66679
10.0;56753
11.0;52190
12.0;46027
13.0;44102
14.0;41572
15.0;39433
16.0;34199
17.0;33073
18.0;31287
19.0;28598
20.0;27919
21.0;26621
22.0;25773
23.0;22279
24.0;22443
25.0;22052
26.0;20016
27.0;20322
28.0;19709
29.0;18798
30.0;17867
31.0;17347
32.0;16372
33.0;15457
34.0;15187
35.0;15315
36.0;14647
37.0;15040
38.0;13158
39.0;13540
40.0;13418
41.0;13169
42.0;12500
43.0;11464
44.0;11743
45.0;12128
46.0;11094
47.0;10791
48.0;10995
49.0;10429
50.0;10225
51.0;10402
52.0;9948
53.0;9395
54.0;8829
55.0;8671
56.0;8791
57.0;8399
58.0;8511
59.0;8608
60.0;8383
61.0;7540
62.0;7784
63.0;8056
64.0;7578
65.0;7425
66.0;7423
67.0;7004
68.0;7168
69.0;6928
70.0;7125
71.0;6597
72.0;6753
73.0;6274
74.0;6065
75.0;6086
76.0;6244
77.0;6248
78.0;5950
79.0;5651
80.0;5934
81.0;5726
82.0;5430
83.0;5368
84.0;5414
85.0;5074
86.0;5190
87.0;5367
88.0;5050
89.0;5100
90.0;4982
91.0;4977
92.0;4678
93.0;5083
94.0;4890
95.0;4853
96.0;4617
97.0;4423
98.0;4549
99.0;4257
100.0;4569
101.0;4269
