value;nbIteration
10.0;4393
11.0;4129
12.0;4898
13.0;4542
14.0;2706
15.0;3699
16.0;3162
17.0;2955
18.0;3563
19.0;2523
20.0;3366
21.0;2273
22.0;2718
23.0;2976
24.0;1748
25.0;2256
26.0;1670
27.0;2068
28.0;1888
29.0;1541
30.0;2156
31.0;1701
32.0;1959
33.0;1491
34.0;1800
35.0;1546
36.0;1367
37.0;1198
38.0;1525
39.0;1576
40.0;1100
41.0;1397
42.0;1339
43.0;956
44.0;1567
45.0;1435
46.0;2000
47.0;1837
48.0;1356
49.0;1290
50.0;1341
51.0;1474
52.0;937
53.0;1387
54.0;1099
55.0;1220
56.0;1055
57.0;819
58.0;920
59.0;1103
60.0;880
61.0;1182
62.0;899
63.0;762
64.0;762
65.0;866
66.0;984
67.0;1010
68.0;823
69.0;1445
70.0;978
71.0;1088
72.0;940
73.0;770
74.0;772
75.0;1140
76.0;881
77.0;948
78.0;768
79.0;738
80.0;609
81.0;954
82.0;646
83.0;854
84.0;794
85.0;789
86.0;730
87.0;970
88.0;694
89.0;542
90.0;729
91.0;917
92.0;746
93.0;652
94.0;843
95.0;534
96.0;701
97.0;747
98.0;971
99.0;529
100.0;615
101.0;611
102.0;526
103.0;534
104.0;676
105.0;501
106.0;504
107.0;909
108.0;366
109.0;593
110.0;396
111.0;415
112.0;696
113.0;500
114.0;520
115.0;475
116.0;434
117.0;742
118.0;654
119.0;555
120.0;399
121.0;490
122.0;685
123.0;415
124.0;641
125.0;584
126.0;672
127.0;361
128.0;510
129.0;442
130.0;409
131.0;496
132.0;341
133.0;331
134.0;458
135.0;343
136.0;418
137.0;381
138.0;420
139.0;301
140.0;589
141.0;664
142.0;422
143.0;466
144.0;230
145.0;516
146.0;474
147.0;427
148.0;239
149.0;461
150.0;254
