value;nbIteration
10.0;7213
11.0;4980
12.0;3291
13.0;5807
14.0;2670
15.0;5140
16.0;4442
17.0;4721
18.0;4471
19.0;5089
20.0;5097
21.0;2830
22.0;3486
23.0;5195
24.0;4326
25.0;5420
26.0;3973
27.0;2730
28.0;3756
29.0;2621
30.0;6259
31.0;4038
32.0;3583
33.0;3146
34.0;3749
35.0;3429
36.0;4294
37.0;2602
38.0;4178
39.0;2889
40.0;3552
41.0;3504
42.0;2757
43.0;3708
44.0;2193
45.0;2614
46.0;5565
47.0;3947
48.0;2888
49.0;1949
50.0;2337
51.0;2503
52.0;1512
53.0;2937
54.0;2831
55.0;1568
56.0;2774
57.0;1597
58.0;2269
59.0;3271
60.0;3234
61.0;2120
62.0;1825
63.0;3430
64.0;3043
65.0;2885
66.0;3429
67.0;2041
68.0;3812
69.0;2261
70.0;1951
71.0;3303
72.0;2944
73.0;2761
74.0;2671
75.0;1447
76.0;1738
77.0;2201
78.0;3055
79.0;2461
80.0;1570
81.0;1499
82.0;2271
83.0;2063
84.0;1853
85.0;1595
86.0;1707
87.0;1887
88.0;1886
89.0;1735
90.0;4162
91.0;1860
92.0;1626
93.0;1588
94.0;1198
95.0;2172
96.0;1360
97.0;1168
98.0;2457
99.0;2207
100.0;1956
101.0;1406
102.0;785
103.0;2228
104.0;1455
105.0;2273
106.0;1962
107.0;1359
108.0;1975
109.0;1651
110.0;1015
111.0;1660
112.0;1752
113.0;1319
114.0;2033
115.0;2354
116.0;1836
117.0;1597
118.0;2841
119.0;1641
120.0;1114
121.0;1156
122.0;1648
123.0;1366
124.0;1809
125.0;1125
126.0;808
127.0;878
128.0;1037
129.0;1656
130.0;1498
131.0;1440
132.0;1086
133.0;952
134.0;1268
135.0;1042
136.0;837
137.0;848
138.0;1428
139.0;1181
140.0;1328
141.0;848
142.0;800
143.0;949
144.0;1026
145.0;492
146.0;1288
147.0;584
148.0;889
149.0;925
150.0;896
