value;nbIteration
0.0;6215
0.0;5421
0.0;4965
0.0;4424
0.0;4171
0.0;3884
0.0;3487
0.0;3368
0.0;3206
0.0;3060
0.0;2879
0.0;2784
0.0;2642
0.0;2520
0.0;2434
0.0;2320
0.0;2231
0.0;2160
0.0;2048
0.0;1997
0.0;1938
0.0;1853
0.0;1817
0.0;1764
0.0;1664
0.0;1645
0.0;1553
0.0;1521
0.0;1465
0.0;1429
0.0;1402
0.0;1363
0.0;1318
0.0;1239
0.0;1206
0.0;1149
0.0;1148
0.0;1080
0.0;1059
0.0;1007
0.0;1002
0.0;992
0.0;933
0.0;899
0.0;856
0.0;835
0.0;806
0.0;787
0.0;785
0.0;758
0.0;732
0.0;672
0.0;682
0.0;640
0.0;626
0.0;595
0.0;581
0.0;554
0.0;548
0.0;512
0.0;489
0.0;498
0.0;462
0.0;450
0.0;416
0.0;404
0.0;387
0.0;369
0.0;351
0.0;352
0.0;318
0.0;309
0.0;299
0.0;297
0.0;264
0.0;252
0.0;228
0.0;227
0.0;216
0.0;210
0.0;188
0.0;185
0.0;169
0.0;152
0.0;140
0.0;132
0.0;122
0.0;109
0.0;93
0.0;86
0.0;77
0.0;70
0.0;62
0.0;47
0.0;40
0.0;32
0.0;22
0.0;13
0.0;5
0.0;1
