value;Alpha=0,5;Alpha=1,0;Alpha=2,0
0.0;;5692;2615
0.0;;4988;2279
0.0;;4567;2092
0.0;;4196;1860
0.0;;3889;1723
0.0;;3562;1675
0.0;;3442;1650
0.0;;3228;1453
0.0;;3065;1432
0.0;;2954;1344
0.0;;2809;1288
0.0;;2701;1271
0.0;;2537;1191
0.0;;2493;1150
0.0;;2395;1134
0.0;;2334;1065
0.0;;2256;1024
0.0;;2120;983
0.0;;2088;945
0.0;;2001;936
0.0;;1925;869
0.0;;1874;872
0.0;;1796;845
0.0;;1770;817
0.0;;1706;762
0.0;;1639;736
0.0;;1578;734
0.0;;1531;702
0.0;;1495;695
0.0;;1474;655
0.0;;1397;650
0.0;;1368;623
0.0;;1331;609
0.0;;1284;581
0.0;;1265;566
0.0;;1199;546
0.0;;1177;529
0.0;;1157;511
0.0;;1085;503
0.0;;1069;474
0.0;;1018;463
0.0;;1022;445
0.0;;988;438
0.0;;929;428
0.0;;904;406
0.0;;891;403
0.0;;881;382
0.0;;843;370
0.0;;820;366
0.0;;774;336
0.0;;739;337
0.0;;725;326
0.0;;743;323
0.0;;669;302
0.0;;658;290
0.0;;636;281
0.0;;614;264
0.0;;606;257
0.0;;596;258
0.0;;553;238
0.0;;519;231
0.0;;505;217
0.0;;493;211
0.0;;473;206
0.0;;441;199
0.0;;434;185
0.0;;406;185
0.0;;407;173
0.0;;379;160
0.0;;363;156
0.0;;349;148
0.0;;329;137
0.0;;321;132
0.0;;295;123
0.0;;279;120
0.0;;269;107
0.0;;252;106
0.0;;236;98
0.0;;226;92
0.0;;214;91
0.0;;189;77
0.0;;179;75
0.0;;165;69
0.0;;156;67
0.0;;143;57
0.0;;133;54
0.0;;122;48
0.0;;106;43
0.0;;102;38
0.0;;86;32
0.0;;76;29
0.0;;66;24
0.0;;55;20
0.0;;44;14
0.0;;35;12
0.0;;26;7
0.0;;18;5
0.0;;9;3
0.0;;3;1
0.0;;1;1
